Time,Raw.Pin 17,Raw.Pin 18,Raw.Pin 19,Raw.Pin 20,Raw.Pin 21,Raw.Pin 22,Raw.Pin 23,Raw.Pin 24,Raw.Pin 25,Raw.Pin 26,Raw.Pin 27,Raw.Pin 28,Raw.Pin 29,Raw.Pin 30,Raw.Pin 31,Raw.Pin 32,Voltage.1,Voltage.2,Voltage.3,Voltage.4,Voltage.5,Voltage.6,Voltage.7,Voltage.8,Voltage.9,Voltage.10,Voltage.11,Voltage.12,Voltage.13,Voltage.14,Voltage.15,Voltage.16
s,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
0.044,0.00183105,0.00183105,0.000915527,-0.000915527,0.000610352,0.00305176,0.000915527,0.00244141,-0.00244141,0.0012207,0.000915527,0.00457764,-0.000305176,0.00183105,0.0012207,0.00213623,0.0157955,0.0158519,0.0135494,0.0136408,0.0114345,0.0168347,0.0114618,0.0108901,0.0159787,0.0176643,0.0159245,0.0116956,0.0159026,0.0146779,0.0133839,0.012722
0.045,0.00152588,-0.000305176,0.00183105,0.000610352,0.00244141,0.00274658,0.00183105,0.00366211,0.00213623,0.00183105,0.000610352,0.00244141,0.00305176,0.00274658,0.00213623,0.00305176,0.0150325,0.0149364,0.0140071,0.013183,0.0118922,0.0175976,0.0122247,0.0137892,0.0162838,0.0161384,0.0162297,0.0135266,0.0162078,0.0149831,0.0115529,0.0116539
0.046,0.00305176,0.00183105,0.00244141,-0.000610352,0.00305176,0.00305176,0.00427246,0.00305176,0.00396729,0,0.00152588,0.00274658,0.00213623,0.00274658,0.0012207,0,0.0145748,0.0149364,0.0135494,0.0137934,0.0111293,0.0174451,0.0111566,0.0127211,0.0159787,0.0178169,0.0174504,0.011543,0.0166655,0.0155935,0.010027,0.0131798
0.047,0.00305176,-0.00183105,0.00213623,0,0.00427246,0.00152588,0.00396729,0.00335693,0.00274658,0.00183105,0.00213623,0.00152588,0.00213623,0.00396729,0.00396729,0.00244141,0.0147274,0.0150889,0.0135494,0.0137934,0.0114345,0.0171399,0.0122247,0.0133315,0.017352,0.0169014,0.0171452,0.0135266,0.0169707,0.0146779,0.0114003,0.012722
0.048,0.00274658,0.00335693,0.00152588,0.0012207,0.00274658,0.00244141,0.00427246,0.00366211,0.00244141,0.000915527,-0.000610352,0.00213623,0.00244141,0.0012207,0.00366211,-0.000915527,0.0156429,0.0144786,0.0115657,0.0133356,0.0115871,0.0175976,0.0100885,0.0148574,0.0168942,0.0182746,0.0171452,0.0139844,0.0154448,0.0128469,0.0120106,0.0104332
0.049,0.00335693,0.00305176,-0.000305176,0.000305176,0.00244141,0.00244141,0.0012207,0.0012207,0.00152588,0.00152588,0.00152588,0.00305176,-0.0012207,0.00335693,0.00274658,0.00305176,0.0159481,0.0149364,0.0117183,0.0133356,0.0102138,0.0157666,0.0103937,0.0131789,0.0168942,0.0173591,0.0156193,0.0129163,0.0171233,0.0143728,0.0118581,0.0125694
0.05,0.00213623,0.00244141,0.00152588,0.00213623,0.00183105,0.0012207,0.00488281,0.00305176,0.00274658,0.00305176,0.000610352,0.00152588,0.00152588,0.00518799,0.00305176,0.00244141,0.0154903,0.0146312,0.0140071,0.013183,0.0126552,0.0185132,0.0116144,0.0143996,0.0146054,0.016291,0.0160771,0.0130688,0.0160552,0.0142202,0.0109425,0.0122642
0.051,0.00366211,0.000610352,0,-0.000610352,0.00396729,0.00244141,0.00396729,0.000915527,0.00305176,0.000915527,0.00396729,0.000915527,0.00244141,0.00305176,0.00274658,0.0012207,0.0150325,0.0126475,0.0117183,0.0110468,0.00945083,0.0162244,0.0100885,0.0125685,0.013995,0.0146125,0.015009,0.0138318,0.0166655,0.0142202,0.0132314,0.0115013
0.052,0.00152588,0.0012207,0.000915527,0.000915527,0.00305176,-0.000915527,0.00244141,0.0012207,0.00396729,0,0.00183105,0.000610352,0.0012207,0.00335693,0.00274658,0.0012207,0.0161006,0.0147838,0.0133968,0.0110468,0.0105189,0.0157666,0.0111566,0.0151625,0.0171994,0.0165962,0.0160771,0.0139844,0.0154448,0.0137624,0.0112477,0.0128746
0.053,0.00305176,0.00213623,-0.000915527,0.000915527,0.00305176,0.00396729,0.00305176,0.00244141,0.00183105,0.00152588,0.00152588,0.00152588,0.00274658,0,0.00152588,0.00183105,0.0151851,0.0150889,0.0141597,0.0128779,0.0115871,0.0168347,0.0125299,0.014247,0.0162838,0.0185798,0.0145512,0.014137,0.0160552,0.0151357,0.012621,0.0122642
0.054,0.00213623,0.000915527,0.00183105,0.00244141,0.00152588,0.00274658,0.00244141,0.000915527,0.00305176,0.00213623,0.000915527,-0.00213623,-0.000305176,0.00274658,0.00152588,0.00274658,0.0148799,0.0144786,0.0147701,0.0127253,0.0114345,0.0160718,0.0114618,0.0134841,0.0156735,0.0170539,0.0154667,0.0138318,0.0154448,0.0148305,0.0106374,0.0128746
0.055,0.00457764,0.000610352,0.00152588,0.000915527,0.00244141,0.00305176,0.00335693,0.00213623,0.000610352,0.000610352,0.00152588,0.000610352,0.0012207,0.00152588,0.000305176,0.000305176,0.0148799,0.0161571,0.013702,0.0130304,0.0126552,0.0153088,0.0128351,0.014247,0.0171994,0.0196479,0.0159245,0.0121533,0.0149871,0.0136098,0.0112477,0.0122642
0.056,0.00213623,0.000610352,0.000305176,0.00183105,0.00274658,-0.00152588,0.00183105,0.000305176,0.00213623,0.00152588,0.00183105,-0.00213623,0.00152588,0.00213623,0.00396729,-0.000305176,0.0157955,0.0149364,0.012939,0.0133356,0.0112819,0.0163769,0.0122247,0.0133315,0.0167416,0.0169014,0.015009,0.013374,0.0165129,0.0145253,0.0112477,0.00829696
0.057,0.00366211,0.000915527,0.000305176,0.0012207,0.00274658,0.00152588,0.00244141,0.00244141,0.00274658,0.000610352,0.00213623,0,0.00244141,0.00244141,0.00274658,0.000915527,0.0133541,0.0138682,0.0135494,0.0127253,0.0112819,0.0171399,0.0114618,0.0122634,0.0162838,0.0181221,0.0157719,0.0156628,0.0154448,0.0145253,0.0114003,0.0121117
0.058,0.00366211,-0.0012207,-0.000305176,0.00152588,0.00213623,0.00213623,-0.0012207,0.00274658,0.00213623,0.00335693,0.000305176,0.00274658,0.000915527,0.000305176,0.00183105,0.0012207,0.0153377,0.0152415,0.013702,0.0136408,0.01235,0.0169873,0.0116144,0.0136367,0.0155209,0.0169014,0.0148564,0.0136792,0.0163603,0.0143728,0.00972183,0.0130272
0.059,0.00213623,-0.000305176,0.0012207,0.000305176,0.0012207,0.0012207,0.00244141,0.0012207,0.000305176,0.000610352,0.000610352,0.000610352,0.00244141,0.00457764,0.00244141,-0.000915527,0.0150325,0.0144786,0.0115657,0.0116572,0.0115871,0.0169873,0.0134454,0.0133315,0.017352,0.0176643,0.0145512,0.013374,0.0152922,0.0145253,0.0114003,0.0104332
0.06,0.00305176,-0.00244141,0.00152588,-0.000305176,0.00488281,0.000305176,0.00274658,0.00152588,0.0012207,0.00274658,0.000915527,0,-0.000305176,-0.000610352,0.00274658,0.00152588,0.0161006,0.0153941,0.0132442,0.0150141,0.0109767,0.0139355,0.0114618,0.0143996,0.017352,0.0159858,0.0163822,0.0129163,0.0149871,0.0145253,0.0118581,0.0131798
0.061,0.00305176,0.000915527,0.00244141,0,0.00274658,0.0012207,0.00183105,0.00396729,0.00366211,0.000610352,-0.000305176,-0.000610352,0.00274658,-0.000915527,0.00518799,-0.00152588,0.0151851,0.0153941,0.012939,0.0133356,0.0118922,0.0175976,0.0120721,0.0128737,0.0182675,0.0164436,0.0160771,0.0142895,0.0159026,0.0142202,0.0115529,0.0133324
0.062,0.00213623,0.00183105,0.000305176,0.000610352,0.00335693,0.00152588,0.00305176,0.00183105,0.000610352,0.000915527,0.000610352,0,0.00183105,0,0.00183105,0.00183105,0.0130489,0.0160045,0.0132442,0.013183,0.0108241,0.0166821,0.0116144,0.0147048,0.0178097,0.0169014,0.0160771,0.0118481,0.0159026,0.0148305,0.0123158,0.0140953
